Company,ISIN,Market,Compartment,Country,Ticker
AMG Critical Materials N.V.,NL0000888691,Euronext Amsterdam,Compartment B,Netherlands,AMG.AS
AMOEBA,FR0011051598,Euronext Growth Paris,Euronext Growth,France,ALMIB.PA
ANDFJORD SALMON GROUP AS,NO0010829765,Euronext Growth Oslo,Euronext Growth,Norway,NO0010829765.SG
"ANDINO INVERSIONES GLOBAL, S.A.",ES0105744009,Euronext Access Paris,Euronext Access,Spain,MLAIG.PA
ANIMA HOLDING,IT0004998065,Euronext Milan,Compartment A,Italy,ANIM.MI
ANTARES VISION,IT0005366601,Euronext Milan,Compartment B,Italy,IT0005366601.SG
ANTIN INFRA PARTN,FR0014005AL0,Euronext Paris,Compartment A,France,ANTIN.PA
APERAM,LU0569974404,Euronext Amsterdam,Compartment A,Luxembourg,APAM.AS
APPEAR ASA,NO0013683821,Oslo Bors,Compartment B,Norway,APR.OL
AQUA BIO TECHNOLOGY,NO0010307135,Oslo Bors,Compartment C,Norway,ABTEC.OL
AQUAFIL,IT0005241192,Euronext Milan,Compartment C,Italy,IT0005241192.SG
AQUILA,FR0010340711,Euronext Growth Paris,Euronext Growth,France,ALAQU.PA
ARAMIS GROUP,FR0014003U94,Euronext Paris,Compartment B,France,ARAMI.PA
ARCHOS,FR001400KO61,Euronext Growth Paris,Euronext Growth,France,ALJXR.PA
ARCTIC BIOSCIENCE AS,NO0010859580,Euronext Growth Oslo,Euronext Growth,Norway,ABS.OL
ARCTIC FISH HOLDING AS,NO0010917719,Euronext Growth Oslo,Euronext Growth,Norway,AFISH.OL
ARCTICZYMES TECHNOLOGIES,NO0010014632,Oslo Bors,Compartment B,Norway,AZT.OL
ARCURE,FR0013398997,Euronext Growth Paris,Euronext Growth,France,ALCUR.PA
ARDOIN ST AMAND A,FR0005057635,Euronext Access Paris,Euronext Access,France,
ARENDALS FOSSEKOMPANI,NO0003572802,Oslo Bors,Compartment B,Norway,AFK.OL
ARISTON HOLDING,NL0015000N33,Euronext Milan,Compartment B,Netherlands,ARIS.MI
ARRIBATEC GROUP ASA,NO0013682948,Oslo Bors,Compartment C,Norway,ARR.OL
ARTEA,FR0012185536,Euronext Paris,Compartment C,France,ARTE.PA
ARTERRA BIOSCIENCE,IT0005386369,Euronext Growth Milan,Euronext Growth,Italy,ARBS.MI
ARTMARKET.COM(EX ARTPRICE.COM),FR0000074783,Euronext Paris,Compartment C,France,PRC.PA
ARTOIS NOM.,FR0000076952,Euronext Paris,Compartment A,France,ARTO.PA
ARVERNE GROUP,FR001400JWR8,Euronext Paris,Compartment B,France,ARVEN.PA
ASCOPIAVE,IT0004093263,Euronext Milan,Compartment B,Italy,ASC.MI
ASHLER ET MANSON,FR0012968485,Euronext Access Paris,Euronext Access,France,MLAEM.PA
ASSYSTEM,FR0000074148,Euronext Paris,Compartment B,France,ASY.PA
ATARI S.A.,FR0010478248,Euronext Growth Paris,Euronext Growth,France,ALATA.PA
ATEA,NO0004822503,Oslo Bors,Compartment A,Norway,ATEA.OL
ATEME,FR0011992700,Euronext Paris,Compartment C,France,ATEME.PA
ATENOR,BE0003837540,Euronext Brussels,Compartment B,Belgium,ATEB.BR
ATLANTIC SAPPHIRE,NO0013249896,Oslo Bors,Compartment C,Norway,
ATON,FR0004153930,Euronext Growth Paris,Euronext Growth,France,ALTAO.PA
ATON GREEN STORAGE,IT0005449464,Euronext Growth Milan,Euronext Growth,Italy,ATON.MI
ATOS,FR001400X2S4,Euronext Paris,Compartment B,France,ATO.PA
AUBAY,FR0000063737,Euronext Paris,Compartment B,France,AUB.PA
AUDACIA,FR00140059B5,Euronext Growth Paris,Euronext Growth,France,ALAUD.PA
AUGROS COSMETICS,FR0000061780,Euronext Paris,Compartment C,France,AUGR.PA
AUREA,FR0000039232,Euronext Paris,Compartment C,France,AURE.PA
AURSKOG SPAREBANK,NO0006001601,Oslo Bors,Compartment C,Norway,AURG.OL
AUSTEVOLL SEAFOOD,NO0010073489,Oslo Bors,Compartment A,Norway,AUSS.OL
AUTOSTRADE MERID,IT0000084043,Euronext Milan,Compartment C,Italy,AUTME.MI
AVANTIUM,NL0015002IE0,Euronext Amsterdam,Compartment B,Netherlands,AVTX.AS
AVENIR TELECOM,FR001400CFI7,Euronext Paris,Compartment C,France,AVT.PA
AVENTADOR,FR001400IV58,Euronext Growth Paris,Euronext Growth,France,
AVIO,IT0005119810,Euronext Milan,Compartment B,Italy,AVIO.MI
AWILCO LNG,NO0010607971,Oslo Bors,Compartment C,Norway,ALNG.OL
AXACTOR ASA,NO0010840515,Oslo Bors,Compartment C,Norway,NO0010840515.SG
AYFIE INTERNATIONAL AS,NO0012861683,Euronext Growth Oslo,Euronext Growth,Norway,AIX.OL
AZ LEASING,IT0004812258,Euronext Access Paris,Euronext Access,Italy,
AZERION,NL00150006Z9,Euronext Amsterdam,Compartment B,Netherlands,AZRN.AS
AZOREAN AQUATIC TECHNOLOGIES SA,PTAZR0AM0006,Euronext Access Paris,Euronext Access,Portugal,MLAAT.PA
B&C SPEAKERS,IT0001268561,Euronext Milan,Compartment B,Italy,BEC.MI
B.F.,IT0005187460,Euronext Milan,Compartment B,Italy,BFG.MI
B2 Impact ASA,NO0010633951,Oslo Bors,Compartment B,Norway,B2I.OL
BAIKOWSKI,FR0013384369,Euronext Growth Paris,Euronext Growth,France,ALBKK.PA
BALTIC SEA PROPERTIES,NO0010810476,Euronext Growth Oslo,Euronext Growth,Norway,BALT.OL
BALYO,FR0013258399,Euronext Paris,Compartment C,France,BALYO.PA
BANCA IFIS,IT0003188064,Euronext Milan,Compartment B,Italy,IF.MI
BANCA SISTEMA,IT0003173629,Euronext Milan,Compartment C,Italy,BST.MI
BANIMMO A,BE0003870871,Euronext Brussels,Compartment C,Belgium,BANI.BR
BANQUP GROUP,BE0974371032,Euronext Brussels,Compartment C,Belgium,BANQ.BR
BARBARA BUI,FR0000062788,Euronext Paris,Compartment C,France,BUI.PA
BARCO,BE0974362940,Euronext Brussels,Compartment A,Belgium,BAR.BR
BASIC-FIT,NL0011872650,Euronext Amsterdam,Compartment A,Netherlands,BFIT.AS
BASICNET,IT0001033700,Euronext Milan,Compartment B,Italy,BAN.MI
BASSAC,FR0004023208,Euronext Paris,Compartment B,France,BASS.PA
BASTIDE LE CONFORT,FR0000035370,Euronext Paris,Compartment B,France,BLC.PA
BASTOGI SPA,IT0004412497,Euronext Milan,Compartment C,Italy,B.MI
BCA POP SONDRIO,IT0000784196,Euronext Milan,Compartment A,Italy,BPSO.MI
BCA PROFILO,IT0001073045,Euronext Milan,Compartment C,Italy,PRO.MI
BCO DESIO BRIANZA,IT0001041000,Euronext Milan,Compartment B,Italy,BDB.MI
BEEWIZE,IT0001487047,Euronext Milan,Compartment C,Italy,BWZ.MI
BEKAERT,BE0974258874,Euronext Brussels,Compartment A,Belgium,BEKB.BR
BELLINI NAUTICA,IT0005497042,Euronext Growth Milan,Euronext Growth,Italy,BELL.MI
BELYSSE GROUP NV,BE0974314461,Euronext Brussels,Compartment C,Belgium,BELYS.BR
BENETEAU,FR0000035164,Euronext Paris,Compartment B,France,BEN.PA
Benfica SAD,PTSLB0AM0010,Euronext Lisbon,Compartment C,Portugal,SLBEN.LS
BERGEN CARBON SOLUTIONS AS,NO0010950249,Euronext Growth Oslo,Euronext Growth,Norway,NO0010950249.SG
BERNARD LOISEAU,FR0000066961,Euronext Growth Paris,Euronext Growth,France,ALDBL.PA
BESTBE HOLDING,IT0005611642,Euronext Milan,Compartment C,Italy,
BEVER HOLDING Gewone aandelen,NL0000285278,Euronext Amsterdam,Compartment C,Netherlands,BEVER.AS
BEWI,NO0010890965,Oslo Bors,Compartment B,Norway,BEWI.OL
BFF BANK,IT0005244402,Euronext Milan,Compartment A,Italy,BFF.MI
BIEN SPAREBANK ASA,NO0012706763,Oslo Bors,Compartment C,Norway,BIEN.OL
BIESSE,IT0003097257,Euronext Milan,Compartment B,Italy,BSS.MI
BIGBEN INTERACTIVE,FR0000074072,Euronext Paris,Compartment C,France,BIG.PA
BILENDI,FR0004174233,Euronext Growth Paris,Euronext Growth,France,ALBLD.PA
BIO INOX,FR001400UBS7,Euronext Access Paris,Euronext Access,France,
BIOPHYTIS,FR001400OLP5,Euronext Growth Paris,Euronext Growth,France,ALBPS.PA
BIOSENIC,BE0974280126,Euronext Brussels,Compartment C,Belgium,BIOS.BR
BIOSYNEX,FR0011005933,Euronext Growth Paris,Euronext Growth,France,FR0011005933.SG
BIOTALYS NV,BE0974386188,Euronext Brussels,Compartment C,Belgium,BE0974386188.SG
BIO-UV GROUP,FR0013345493,Euronext Growth Paris,Euronext Growth,France,FR0013345493.SG
BLACK SEA PROPERTY,NO0013685750,Euronext Growth Oslo,Euronext Growth,Norway,BSP.OL
BLUE SHARK POWER,FR0013340973,Euronext Access Paris,Euronext Access,France,MLBSP.PA
BLUELINEA,FR0011041011,Euronext Growth Paris,Euronext Growth,France,ALBLU.PA
BLUENORD ASA,NO0010379266,Oslo Bors,Compartment A,Norway,BNOR.OL
BOA CONCEPT,FR0011365907,Euronext Growth Paris,Euronext Growth,France,ALBOA.PA
BODY ONE,FR0010106039,Euronext Access Paris,Euronext Access,France,MLONE.PA
BOIRON,FR0000061129,Euronext Paris,Compartment B,France,BOI.PA
BOLOGNAFIERE,IT0003516066,Euronext Growth Milan,Euronext Growth,Italy,
BONDUELLE,FR0000063935,Euronext Paris,Compartment B,France,BON.PA
BONHEUR,NO0003110603,Oslo Bors,Compartment B,Norway,BONHR.OL
BONYF,BE6333353298,Euronext Access Paris,Euronext Access,Belgium,MLBON.PA
BOOSTHEAT,FR00140153G5 ,Euronext Growth Paris,Euronext Growth,France,
BORGESTAD,NO0013256180,Oslo Bors,Compartment C,Norway,BOR.OL
BORGOSESIA,IT0003217335,Euronext Milan,Compartment C,Italy,BO.MI
BORREGAARD,NO0010657505,Oslo Bors,Compartment A,Norway,BRG.OL
BOURRELIER GROUP,FR0000054421,Euronext Growth Paris,Euronext Growth,France,ALBOU.PA
BOURSE DIRECT,FR0000074254,Euronext Paris,Compartment B,France,BSD.PA
BOUVET,NO0010360266,Oslo Bors,Compartment B,Norway,BOUV.OL
BPOST,BE0974268972,Euronext Brussels,Compartment B,Belgium,BPOST.BR
BQUE NAT. BELGIQUE,BE0003008019,Euronext Brussels,Compartment B,Belgium,BNB.BR
BRAGA MORO,IT0005640286,Euronext Growth Milan,Euronext Growth,Italy,BRM.MI
BRIOSCHI,IT0000066180,Euronext Milan,Compartment C,Italy,BRI.MI
BROADPEAK,FR001400AJZ7,Euronext Growth Paris,Euronext Growth,France,ALBPK.PA
BRUNEL INTERNAT,NL0010776944,Euronext Amsterdam,Compartment B,Netherlands,BRNL.AS
BURELLE,FR0000061137,Euronext Paris,Compartment B,France,BUR.PA
BYGGMA,NO0003087603,Euronext Growth Oslo,Euronext Growth,Norway,BMA.OL
CA TOULOUSE 31 CCI,FR0000045544,Euronext Paris,Compartment C,France,CAT31.PA
CABASSE S.A.,FR001400DIY6,Euronext Growth Paris,Euronext Growth,France,ALCAB.PA
CABKA,NL00150000S7,Euronext Amsterdam,Compartment C,Netherlands,CABKA.AS
CADELER A/S,DK0061412772,Oslo Bors,Compartment A,Denmark,CADLR.OL
CAFOM,FR0010151589,Euronext Growth Paris,Euronext Growth,France,ALCAF.PA
CAIRN HOMES PLC,IE00BWY4ZF18,Euronext Dublin,Compartment B,Ireland,CRN.L
CAIRO COMMUNICATION,IT0004329733,Euronext Milan,Compartment B,Italy,CAI.MI
CALEFFI,IT0003025019,Euronext Milan,Compartment C,Italy,CLF.MI
CALIBRE,FR0014004QR6,Euronext Growth Paris,Euronext Growth,France,ALIBR.PA
CALTAGIRONE,IT0003127930,Euronext Milan,Compartment B,Italy,CALT.MI
CALTAGIRONE EDIT,IT0001472171,Euronext Milan,Compartment C,Italy,CED.MI
CAMBI ASA,NO0010078850,Euronext Growth Oslo,Euronext Growth,Norway,NO0010078850.SG
CAMPINE,BE0003825420,Euronext Brussels,Compartment C,Belgium,CAMB.BR
CANDELA INVEST,BE0974298300,Euronext Growth Brussels,Euronext Growth,Belgium,CAND.BR
CAPITAL B,FR0011053636,Euronext Growth Paris,Euronext Growth,France,ALCPB.PA
CAPSOL TECHNOLOGIES ASA,NO0010923121,Oslo Bors,Compartment C,Norway,CAPSL.OL
CARBIOS,FR0011648716,Euronext Growth Paris,Euronext Growth,France,ALCRB.PA
CARMAT,FR0010907956,Euronext Growth Paris,Euronext Growth,France,
CARVOLIX,FR0013333077,Euronext Paris,Compartment C,France,FR0013333077.SG
CASINO GUICHARD,FR001400OKR3,Euronext Paris,Compartment C,France,CO.PA
CASTA DIVA GROUP,IT0005003782,Euronext Growth Milan,Euronext Growth,Italy,CDG.MI
CATANA GROUP,FR0010193052,Euronext Growth Paris,Euronext Growth,France,ALCAT.PA
CATERING INTERNATIONAL & SERVICES S.A.,FR0000064446,Euronext Growth Paris,Euronext Growth,France,ALCIS.PA
CAVENDISH HYDROGEN ASA,NO0013219535,Oslo Bors,Compartment C,Norway,CAVEN.OL
CBO TERRITORIA,FR0010193979,Euronext Paris,Compartment C,France,CBOT.PA
CEGEDIM,FR0000053506,Euronext Growth Paris,Euronext Growth,France,ALCGM.PA
CELLECTIS,FR0010425595,Euronext Growth Paris,Euronext Growth,France,ALCLS.PA
CELLULARLINE,IT0005244618,Euronext Milan,Compartment C,Italy,CELL.MI
CELYAD ONCOLOGY,BE0974260896,Euronext Brussels,Compartment C,Belgium,CYAD.BR
CEMBRE,IT0001128047,Euronext Milan,Compartment B,Italy,CMB.MI
CEMENTIR HOLDING,NL0013995087,Euronext Milan,Compartment A,Netherlands,NL0013995087.SG
CENERGY,BE0974303357,Euronext Brussels,Compartment A,Belgium,CENER.BR
CENTRALE DEL LATTE D'ITALIA,IT0003023980,Euronext Milan,Compartment C,Italy,CLI.MI
CERINNOV GROUP,FR0013178712,Euronext Growth Paris,Euronext Growth,France,
CFE,BE0003883031,Euronext Brussels,Compartment B,Belgium,CFEB.BR
CH.FER DEPARTEMENTAUX,FR0000037871,Euronext Access Paris,Euronext Access,France,MLCFD.PA
CHARWOOD ENERGY S.A.,FR001400AJ60,Euronext Growth Paris,Euronext Growth,France,ALCWE.PA
CHAUSSERIA,FR0000060907,Euronext Paris,Compartment C,France,
Cheops Technology,FR0010447086,Euronext Access Paris,Euronext Access,France,MLCHE.PA
CHOICE NV,BE0974370026,Euronext Access Brussels,Euronext Access,Belgium,MLTV.BR
CIBOX INTER A CTIV,FR0000054322,Euronext Growth Paris,Euronext Growth,France,ALCBX.PA
CIE BOIS SAUVAGE,BE0003592038,Euronext Brussels,Compartment B,Belgium,COMB.BR
CIE DU MONT BLANC,FR0000060428,Euronext Access Paris,Euronext Access,France,MLCMB.PA
CIR,IT0000070786,Euronext Milan,Compartment B,Italy,CIR.MI
CIRCIO HOLDING ASA,NO0013033795,Oslo Bors,Compartment C,Norway,CRNA.OL
CIRCLE,IT0005344996,Euronext Growth Milan,Euronext Growth,Italy,CIRC.MI
CLABO,IT0005091324,Euronext Growth Milan,Euronext Growth,Italy,
CLARANOVA,FR0013426004,Euronext Growth Paris,Euronext Growth,France,ALCLA.PA
CLARIANE SE,FR0010386334,Euronext Paris,Compartment B,France,CLARI.PA
CLASS EDITORI,IT0005117848,Euronext Milan,Compartment C,Italy,CLE.MI
CLEANBNB,IT0005377277,Euronext Growth Milan,Euronext Growth,Italy,CBB.MI
CLOUDBERRY CLEAN ENERGY ASA,NO0010876642,Oslo Bors,Compartment B,Norway,NO0010876642.SG
CLOUDIA RESEARCH,IT0005577090,Euronext Growth Milan,Euronext Growth,Italy,AGAIN.MI
CM.COM,NL0012747059,Euronext Amsterdam,Compartment B,Netherlands,CMCOM.AS
CMG CLEANTECH,FR0013406881,Euronext Access Paris,Euronext Access,France,MLCMG.PA
CO.BR.HA (D),BE0003519270,Euronext Growth Brussels,Euronext Growth,Belgium,COBH.BR
CODELAB CAPITAL AS,NO0013483503,Euronext Growth Oslo,Euronext Growth,Norway,CODE.OL
COFACE,FR0010667147,Euronext Paris,Compartment A,France,COFA.PA
COFIDUR S.A.,FR0013257409,Euronext Growth Paris,Euronext Growth,France,ALCOF.PA
COFLE,IT0005465619,Euronext Growth Milan,Euronext Growth,Italy,CFL.MI
COGEFEED,IT0005618043,Euronext Growth Milan,Euronext Growth,Italy,CGF.MI
COGRA,FR0011071570,Euronext Growth Paris,Euronext Growth,France,ALCOG.PA
COHERIS,FR0004031763,Euronext Paris,Compartment C,France,COH.PA
COIL,BE0160342011,Euronext Growth Paris,Euronext Growth,Belgium,ALCOI.PA
COLIPAYS,FR0010959684,Euronext Access Paris,Euronext Access,France,MLCLP.PA
COM.TEL,IT0005632945,Euronext Growth Milan,Euronext Growth,Italy,CMTL.MI
COMER INDUSTRIES,IT0005246191,Euronext Milan,Compartment B,Italy,COM.MI
COMPAGNIA DEI CARAIBI,IT0005453235,Euronext Growth Milan,Euronext Growth,Italy,TIME.MI
COMPAGNIE CHARGEURS INVEST,FR0000130692,Euronext Paris,Compartment B,France,CRI.PA
CONDOR TECHNOLOGIES,BE6252013725,Euronext Access Paris,Euronext Access,Belgium,
Conduril-Engenharia,PTCDU0AE0003,Euronext Access Lisbon,Euronext Access,Portugal,
CONFINVEST,IT0005379604,Euronext Growth Milan,Euronext Growth,Italy,CFV.MI
CONSORT NT,FR0000077828,Euronext Access Paris,Euronext Access,France,
CONSTRUCTEURS BOIS,FR00140007I9,Euronext Access Paris,Euronext Access,France,MLLCB.PA
CONTEXTVISION,SE0014731154,Oslo Bors,Compartment C,Sweden,CONTX.OL
CONVERGENZE,IT0005426215,Euronext Growth Milan,Euronext Growth,Italy,CVG.MI
COPERNICO,IT0005379406,Euronext Growth Milan,Euronext Growth,Italy,COP.MI
CORBION,NL0010583399,Euronext Amsterdam,Compartment A,Netherlands,CRBN.AS
COREP LIGHTING,FR0010035816,Euronext Access Paris,Euronext Access,France,
CORETECH 5,FR0013371507,Euronext Access Paris,Euronext Access,France,MLCOT.PA
Corticeira Amorim-SGPS,PTCOR0AE0006,Euronext Lisbon,Compartment A,Portugal,COR.LS
COURBET,FR0004998318,Euronext Access Paris,Euronext Access,France,MLCOU.PA
COURTOIS,FR0000065393,Euronext Paris,Compartment C,France,COUR.PA
CRCAM ALP.PROV.CCI,FR0000044323,Euronext Paris,Compartment C,France,CRAP.PA
CRCAM ATL.VEND.CCI,FR0000185506,Euronext Paris,Compartment C,France,CRAV.PA
CRCAM BRIE PIC2CCI,FR0010483768,Euronext Paris,Compartment B,France,CRBP2.PA
CRCAM ILLE-VIL.CCI,FR0000045213,Euronext Paris,Compartment C,France,CIV.PA
CRCAM LANGUED CCI,FR0010461053,Euronext Paris,Compartment C,France,CRLA.PA
CRCAM LOIRE HAUTE LOIRE CCI,FR0000045239,Euronext Paris,Compartment C,France,CRLO.PA
CRCAM MORBIHAN CCI,FR0000045551,Euronext Paris,Compartment C,France,CMO.PA
CRCAM NORD CCI,FR0000185514,Euronext Paris,Compartment B,France,CNDF.PA
CRCAM NORM.SEINE,FR0000044364,Euronext Paris,Compartment C,France,CCN.PA
CRCAM PARIS ET IDF,FR0000045528,Euronext Paris,Compartment B,France,CAF.PA
CRCAM SUD R.A.CCI,FR0000045346,Euronext Paris,Compartment C,France,CRSU.PA
CRCAM TOURAINE CCI,FR0000045304,Euronext Paris,Compartment C,France,CRTO.PA
CREACTIVES GROUP,IT0005408593,Euronext Growth Milan,Euronext Growth,Italy,CREG.MI
CROSSJECT,FR0011716265,Euronext Growth Paris,Euronext Growth,France,ALCJ.PA
CROSSWOOD,FR0000050395,Euronext Paris,Compartment C,France,CROS.PA
CROWDFUNDME,IT0005353575,Euronext Growth Milan,Euronext Growth,Italy,CFM.MI
CRYPTO BLOCKCHAIN INDUSTRIES,FR0014007LW0,Euronext Growth Paris,Euronext Growth,France,ALCBI.PA
CSP INT IND CALZE,IT0001127874,Euronext Milan,Compartment C,Italy,CSP.MI
CTAC,NL0000345577,Euronext Amsterdam,Compartment C,Netherlands,CTAC.AS
"CTT-CORREIOS DE PORTUGAL, SA",PTCTT0AM0001,Euronext Lisbon,Compartment B,Portugal,CTT.LS
CUBE LABS,IT0005532483,Euronext Growth Milan,Euronext Growth,Italy,
CULTI MILANO,IT0005257347,Euronext Growth Milan,Euronext Growth,Italy,CULT.MI
CUMULEX,BE0003463685,Euronext Brussels,Compartment C,Belgium,CLEX.BR
CY4GATE,IT0005412504,Euronext Milan,Compartment B,Italy,CY4.MI
CYBEROO,IT0005546103,Euronext Growth Milan,Euronext Growth,Italy,CYB.MI
CYVIZ AS,NO0010015175,Euronext Growth Oslo,Euronext Growth,Norway,CYVIZ.OL
D.L.S.I.,FR0010404368,Euronext Growth Paris,Euronext Growth,France,ALDLS.PA
DAMARIS,FR0000077885,Euronext Access Paris,Euronext Access,France,MLDAM.PA
DAMARTEX,FR0000185423,Euronext Growth Paris,Euronext Growth,France,ALDAR.PA
D'AMICO,LU2592315662,Euronext Milan,Compartment B,Luxembourg,DIS.MI
DANIELI & C,IT0000076502,Euronext Milan,Compartment A,Italy,DAN.MI
DATALOGIC,IT0004053440,Euronext Milan,Compartment B,Italy,DAL.MI
DATRIX,IT0005468357,Euronext Growth Milan,Euronext Growth,Italy,DATA.MI
DBA GROUP,IT0005285942,Euronext Growth Milan,Euronext Growth,Italy,DBA.MI
